timestamp,symbol,open,high,low,close,volume
1752757920000,MSFT,506.6,506.6,506.6,506.6,1106
1752757980000,MSFT,506.5,506.5,506.5,506.5,680
1752758220000,MSFT,506.4,506.491,506.4,506.491,1158
1752758280000,MSFT,506.39,506.39,506.38,506.38,437
1752758520000,MSFT,506.07,506.07,506.07,506.07,620
1752758700000,MSFT,506,506,505.35,505.39,3871
1752758820000,MSFT,505.13,505.75,504.9,504.9,4696
1752758880000,MSFT,506,506,506,506,1433
1752759000000,MSFT,505.68,507.46,505.62,506.88,396468
1752759060000,MSFT,506.875,507.84,506.395,507.84,50248
1752759120000,MSFT,507.83,508.3,507.18,507.18,140034
1752759180000,MSFT,507.12,507.7,506.52,506.83,47709
1752759240000,MSFT,506.83,507.19,506.38,506.7,43502
1752759300000,MSFT,506.7,506.725,506.3,506.595,41172
1752759360000,MSFT,506.54,506.6,506.14,506.235,46090
1752759420000,MSFT,506.25,506.885,506.24,506.84,29368
1752759480000,MSFT,506.815,506.92,506.67,506.805,26518
1752759540000,MSFT,506.78,507.285,506.78,507.02,43177
1752759600000,MSFT,507.055,507.36,506.97,507.36,29618
1752759660000,MSFT,507.33,507.83,507.3,507.83,60022
1752759720000,MSFT,507.803,508.18,507.803,508.1,54932
1752759780000,MSFT,508.145,508.965,508.09,508.965,83261
1752759840000,MSFT,508.97,509.15,508.66,508.8,72330
1752759900000,MSFT,508.82,508.955,508.63,508.89,54681
1752759960000,MSFT,508.91,509.27,508.88,509.21,70461
1752760020000,MSFT,509.19,509.28,508.72,508.81,63166
1752760080000,MSFT,508.79,509.04,508.78,508.879,37400
1752760140000,MSFT,508.88,509.23,508.81,509.18,35974
1752760200000,MSFT,509.2,509.58,509.18,509.49,58947
1752760260000,MSFT,509.48,509.77,509.43,509.531,57796
1752760320000,MSFT,509.6,509.74,509.515,509.66,38092
1752760380000,MSFT,509.645,509.86,509.55,509.78,43405
1752760440000,MSFT,509.83,510.17,509.64,509.697,158417
1752760500000,MSFT,509.685,510.24,509.645,510.07,76363
1752760560000,MSFT,510.11,510.27,509.99,510.11,40097
1752760620000,MSFT,510.095,510.118,509.875,509.96,37913
1752760680000,MSFT,509.92,510.1,509.785,509.973,37022
1752760740000,MSFT,510.005,510.005,509.34,509.76,78559
1752760800000,MSFT,509.8,510.13,509.75,510.11,48355
1752760860000,MSFT,510.125,510.36,509.975,510.281,41468
1752760920000,MSFT,510.23,510.53,510.22,510.34,39821
1752760980000,MSFT,510.345,510.579,510.24,510.56,42207
1752761040000,MSFT,510.54,510.8,510.51,510.755,76534
1752761100000,MSFT,510.795,510.95,510.66,510.77,65411
1752761160000,MSFT,510.74,510.768,510.18,510.355,82546
1752761220000,MSFT,510.357,510.51,510.21,510.46,32102
1752761280000,MSFT,510.45,510.455,510.22,510.38,24690
1752761340000,MSFT,510.35,510.38,509.851,509.9,34104
1752761400000,MSFT,510.05,510.11,509.69,509.76,31544
1752761460000,MSFT,509.69,509.93,509.6,509.655,83088
1752761520000,MSFT,509.61,509.64,509.325,509.545,42944
1752761580000,MSFT,509.545,509.63,509.3,509.63,35108
1752761640000,MSFT,509.575,509.74,509.487,509.655,23224
1752761700000,MSFT,509.62,509.74,509.24,509.49,36885
1752761760000,MSFT,509.57,509.77,509.49,509.65,53328
1752761820000,MSFT,509.65,509.86,509.58,509.6,37684
1752761880000,MSFT,509.54,509.81,509.371,509.63,36412
1752761940000,MSFT,509.65,509.69,509.48,509.57,27982
1752762000000,MSFT,509.55,509.71,509.37,509.71,44759
1752762060000,MSFT,509.6,509.6,509.13,509.13,52575
1752762120000,MSFT,509.1,509.369,508.943,509.24,69265
1752762180000,MSFT,509.13,509.29,509.001,509.23,37598
1752762240000,MSFT,509.18,509.67,509.12,509.605,39557
1752762300000,MSFT,509.66,509.72,509.27,509.625,41047
1752762360000,MSFT,509.645,510.14,509.585,510.03,59513
1752762420000,MSFT,510,510.46,509.81,510.166,37731
1752762480000,MSFT,510.11,510.199,509.86,510.01,53205
1752762540000,MSFT,510,510.217,509.88,510.075,25626
1752762600000,MSFT,510.03,510.253,509.92,510.205,29828
1752762660000,MSFT,510.14,510.29,510.07,510.16,17208
1752762720000,MSFT,510.2,510.35,510.18,510.23,20314
1752762780000,MSFT,510.188,510.43,510.185,510.425,15000
1752762840000,MSFT,510.41,510.65,510.41,510.516,32275
1752762900000,MSFT,510.53,510.65,510.46,510.61,83419
1752762960000,MSFT,510.6,511.08,510.55,511.08,56054
1752763020000,MSFT,511.11,511.23,510.98,511.131,54793
1752763080000,MSFT,511.19,511.2,510.9,511.035,52125
1752763140000,MSFT,511.045,511.113,510.925,510.96,34215
1752763200000,MSFT,510.97,511.25,510.93,511.14,18926
1752763260000,MSFT,511.06,511.25,510.8,510.92,36697
1752763320000,MSFT,510.94,511.25,510.79,511.25,25840
1752763380000,MSFT,511.31,511.48,511.06,511.06,31334
1752763440000,MSFT,511.1,511.15,511,511.09,18459
1752763500000,MSFT,511.08,511.12,510.85,510.865,19128
1752763560000,MSFT,510.855,510.96,510.81,510.93,28486
1752763620000,MSFT,510.96,511.1,510.81,510.86,35958
1752763680000,MSFT,510.88,511.079,510.85,511.079,15610
1752763740000,MSFT,511.04,511.35,511.04,511.35,23939
1752763800000,MSFT,511.36,511.465,511.245,511.3,26155
1752763860000,MSFT,511.33,511.33,510.75,510.75,34194
1752763920000,MSFT,510.84,511.08,510.75,511.05,25101
1752763980000,MSFT,511.02,511.07,510.845,510.86,25786
1752764040000,MSFT,510.84,510.94,510.66,510.7,21565
1752764100000,MSFT,510.71,510.919,510.6,510.912,27495
